Tree Number,Plot,Treatment,Large,Alive at year 6,DBH year 0,DBH year 6,Class year 0,Class year 6,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
463.0,5,T2: Radial,No,Yes,28.0,29.1,,,,,,0.0,0.0,0.0
464.0,5,T2: Radial,No,Yes,23.5,24.5,,,,,,0.0,0.0,0.0
465.0,5,T2: Radial,No,Yes,23.7,25.3,,,,,,0.0,0.0,0.0
467.0,5,T2: Radial,No,Yes,29.4,30.2,,,,,,0.0,0.0,0.0
471.0,5,T2: Radial,No,,21.0,,,,,,,,,
472.0,5,T2: Radial,No,Yes,26.6,27.5,,,,,,0.0,0.0,0.0
474.0,5,T2: Radial,No,Yes,28.5,30.3,,,,,,0.0,0.0,0.0
476.0,5,T2: Radial,No,Yes,22.0,24.1,,,,,,0.0,0.0,0.0
477.0,5,T2: Radial,No,,23.5,,,,,,,,,
480.0,5,T2: Radial,No,Yes,24.3,25.8,,,,,,0.0,0.0,0.0
461.0,5,T2: Radial,No,Yes,31.2,32.9,,,0.0,0.0,0.0,0.0,0.0,0.0
462.0,5,T2: Radial,No,Yes,33.5,36.1,,,0.0,0.0,0.0,0.0,0.0,0.0
466.0,5,T2: Radial,No,Yes,30.5,31.3,,,0.0,0.0,0.0,0.0,0.0,0.0
468.0,5,T2: Radial,No,Yes,33.9,35.1,,,0.0,0.0,0.0,0.0,0.0,0.0
469.0,5,T2: Radial,No,Yes,37.4,39.6,,,0.0,0.0,0.0,0.0,0.0,0.0
470.0,5,T2: Radial,No,Yes,30.9,34.9,,,0.0,0.0,0.0,0.0,0.0,0.0
473.0,5,T2: Radial,No,Yes,35.9,37.9,,,0.0,0.0,0.0,0.0,0.0,0.0
475.0,5,T2: Radial,No,Yes,31.1,35.5,,,0.0,0.0,0.0,0.0,0.0,0.0
478.0,5,T2: Radial,No,Yes,31.2,45.4,,,0.0,0.0,0.0,0.0,0.0,0.0
479.0,5,T2: Radial,No,Yes,34.3,34.9,,,0.0,0.0,0.0,0.0,0.0,0.0
187.0,5,T2: Radial,Yes,Yes,63.7,63.1,,,1.0,0.0,0.0,0.0,0.0,0.0
172.0,5,T2: Radial,Yes,Yes,39.7,32.9,,,0.0,0.0,0.0,0.0,0.0,0.0
171.0,5,T2: Radial,Yes,Yes,34.0,36.9,,,0.0,0.0,0.0,0.0,0.0,0.0
188.0,5,T2: Radial,Yes,Yes,32.9,38.1,,,0.0,0.0,0.0,0.0,0.0,0.0
175.0,5,T2: Radial,Yes,Yes,40.0,41.7,,,0.0,0.0,0.0,0.0,0.0,0.0
174.0,5,T2: Radial,Yes,Yes,99.3,100.0,,,1.0,1.0,7.0,2.0,1.0,7.0
176.0,5,T2: Radial,Yes,Yes,81.8,80.7,,,0.0,0.0,4.0,2.0,1.0,4.0
177.0,5,T2: Radial,Yes,Yes,52.2,52.8,,,2.0,4.0,2.0,2.0,5.0,0.0
179.0,5,T2: Radial,Yes,Yes,51.9,52.7,,,7.0,2.0,2.0,1.0,1.0,2.0
180.0,5,T2: Radial,Yes,Yes,39.2,41.2,,,0.0,0.0,0.0,0.0,0.0,0.0
181.0,5,T2: Radial,Yes,Yes,41.1,44.1,,,0.0,0.0,0.0,0.0,0.0,0.0
182.0,5,T2: Radial,Yes,Yes,42.0,44.1,,,0.0,0.0,0.0,0.0,0.0,0.0
183.0,5,T2: Radial,Yes,,39.8,,,,0.0,0.0,0.0,,,
184.0,5,T2: Radial,Yes,Yes,26.8,43.4,,,0.0,0.0,0.0,0.0,0.0,0.0
185.0,5,T2: Radial,Yes,Yes,24.9,38.9,,,0.0,0.0,0.0,0.0,0.0,0.0
186.0,5,T2: Radial,Yes,Yes,57.3,60.8,,,0.0,0.0,0.0,2.0,0.0,2.0
989.0,5,T2: Radial,Yes,Yes,,44.5,,,,,,0.0,0.0,0.0
,9,T2: Radial,,,,,,,,,,,,
407.0,9,T2: Radial,No,,24.9,27.0,,,0,0,0,0,0,0
408.0,9,T2: Radial,No,,28.2,29.8,,,0,0,0,0,0,0
411.0,9,T2: Radial,No,,21.3,21.9,,,0,0,0,,,
412.0,9,T2: Radial,No,,20.5,21.0,,,,,,0,0,0
413.0,9,T2: Radial,No,,21.0,22.6,,,0,0,0,0,0,0
414.0,9,T2: Radial,No,,28.1,30.4,,,,,,0,0,0
406.0,9,T2: Radial,No,,27.7,29.8,,,0,0,0,0,0,0
417.0,9,T2: Radial,No,,29.1,31.5,,,,,,0,0,0
419.0,9,T2: Radial,,Yes,26.8,29.2,,,,,,,,
420.0,9,T2: Radial,No,,22.8,24.7,,,,,,0,0,0
401.0,9,T2: Radial,No,,39.5,44.6,,,0,0,0,0,0,0
402.0,9,T2: Radial,No,,33.9,38.5,,,0,0,0,0,0,0
403.0,9,T2: Radial,No,,33.0,35.0,,,1,0,0,0,0,0
404.0,9,T2: Radial,No,,34.1,35.1,,,0,0,0,0,0,0
405.0,9,T2: Radial,No,,31.9,36.9,,,0,0,0,0,0,0
409.0,9,T2: Radial,No,,37.2,41.0,,,,,,yes,0,0
410.0,9,T2: Radial,No,,31.8,,,,,,,,,
415.0,9,T2: Radial,No,,33.8,35.5,,,,,,0,0,0
416.0,9,T2: Radial,No,,37.8,40.3,,,,,,0,0,0
418.0,9,T2: Radial,No,,31.9,33.0,,,,,,,,
108.0,9,T2: Radial,Yes,,40.5,,,,0,0,0,,,
109.0,9,T2: Radial,Yes,Yes,38.5,41.2,,,0,0,0,0,0,0
105.0,9,T2: Radial,Yes,Yes,43.7,49.9,,,0,0,0,0,0,0
106.0,9,T2: Radial,Yes,Yes,40.1,46.0,,,0,0,0,0,0,0
92.0,9,T2: Radial,Yes,,30.8,,,,0/0,0/0,0/0,,,
91.0,9,T2: Radial,Yes,Yes,40.7,45.5,,,0/0,0/0,0/0,0,0,0
95.0,9,T2: Radial,Yes,Yes,41.2,48.5,,,0,0,0,0,0,0
94.0,9,T2: Radial,Yes,Yes,32.6,38.1,,,1,0,0,0,0,0
93.0,9,T2: Radial,Yes,Yes,39.5,44.3,,,0/0,0/0,0/0,0,0,0
96.0,9,T2: Radial,Yes,Yes,39.2,43.2,,,0,0,0,0,0,0
104.0,9,T2: Radial,Yes,Yes,50.5,55.8,,,0,0,0,0,0,0
103.0,9,T2: Radial,Yes,Yes,40.5,45.8,,,0,0,0,0,0,0
99.0,9,T2: Radial,Yes,,42.5,,,,0,0,0,,,
98.0,9,T2: Radial,Yes,Yes,40.3,45.4,,,0,0,0,0,0,0
100.0,9,T2: Radial,Yes,Yes,42.2,49.6,,,0,0,0,0,0,0
97.0,9,T2: Radial,Yes,Yes,43.1,49.3,,,0,0,0,0,0,0
101.0,9,T2: Radial,Yes,Yes,39.1,44.6,,,0,0,0,0,0,0
102.0,9,T2: Radial,Yes,Yes,46.1,51.9,,,0,0,0,0,0,0
107.0,9,T2: Radial,Yes,,33.0,,,,0,0,0,,,
225,2,Control,Yes,Yes,36.60563691113593,52.0,,,0.0,0.0,0.0,0.0,,
226,2,Control,Yes,Yes,35.96901713876835,36.6,,,0.0,0.0,0.0,0.0,,
228,2,Control,Yes,Yes,42.01690497626037,43.7,,,0.0,0.0,0.0,0.0,,
227,2,Control,Yes,Yes,42.97183463481174,41.6,,,0.0,0.0,0.0,0.0,,
229,2,Control,Yes,Yes,38.515496228238675,43.3,,,0.0,0.0,0.0,0.0,,
232,2,Control,Yes,Yes,40.42535554534142,41.7,,,0.0,0.0,0.0,0.0,,
233,2,Control,Yes,Yes,39.470425886790046,37.8,,,1.0,0.0,0.0,0.0,,
235,2,Control,Yes,Yes,49.01972247230376,51.0,,,0.0,0.0,0.0,0.0,,
236,2,Control,Yes,Yes,42.65352474862795,43.2,,,0.0,0.0,0.0,0.0,,
237,2,Control,Yes,Yes,44.245074179546904,46.0,,,0.0,0.0,0.0,0.0,,
C11,2,Control,Yes,,38.515496228238675,,,,0.0,0.0,0.0,,,
222,2,Control,Yes,Yes,40.42535554534142,42.4,,,0.0,0.0,0.0,0.0,,
223,2,Control,Yes,Yes,40.10704565915763,39.9,,,1.0,0.0,0.0,0.0,,
C14,2,Control,Yes,,36.92394679731972,,,,0.0,0.0,0.0,,,
238,2,Control,Yes,Yes,38.515496228238675,39.2,,,0.0,0.0,0.0,0.0,,
221,2,Control,Yes,Yes,37.24225668350351,38.9,,,0.0,0.0,0.0,0.0,,
231,2,Control,Yes,Yes,42.01690497626037,39.9,,,0.0,0.0,0.0,0.0,,
234,2,Control,Yes,Yes,37.5605665696873,39.2,,,0.0,0.0,0.0,0.0,,
240,2,Control,Yes,Yes,36.92394679731972,38.3,,,0.0,0.0,0.0,,,
230,2,Control,Yes,Yes,34.0591578216656,34.1,,,0.0,0.0,0.0,0.0,,
521,2,Control,No,Yes,25.3,26.6,,,,,,0.0,,
523,2,Control,No,Yes,22.5,23.7,,,,,,0.0,,
524,2,Control,No,Yes,23.5,25.0,,,,,,0.0,,
526,2,Control,No,Yes,21.5,21.8,,,,,,0.0,,
528,2,Control,No,Yes,24.0,24.5,,,,,,0.0,,
531,2,Control,No,Yes,28.1,28.6,,,,,,0.0,,
532,2,Control,No,Yes,24.3,24.8,,,,,,0.0,,
533,2,Control,No,Yes,29.5,30.0,,,,,,0.0,,
534,2,Control,No,Yes,27.0,27.8,,,,,,0.0,,
537,2,Control,No,Yes,25.5,26.2,,,,,,0.0,,
522,2,Control,No,Yes,34.3,35.7,,,0.0,0.0,0.0,0.0,,
525,2,Control,No,Yes,33.6,35.3,,,0.0,0.0,0.0,0.0,,
527,2,Control,No,Yes,32.3,33.7,,,0.0,0.0,0.0,0.0,,
529,2,Control,No,Yes,32.1,32.6,,,0.0,0.0,1.0,0.0,,
530,2,Control,No,Yes,31.8,32.6,,,0.0,0.0,0.0,0.0,,
535,2,Control,No,Yes,30.7,32.3,,,0.0,0.0,0.0,0.0,,
536,2,Control,No,Yes,33.3,34.1,,,0.0,0.0,0.0,0.0,,
538,2,Control,No,Yes,31.0,31.4,,,0.0,0.0,0.0,0.0,,
539,2,Control,No,Yes,30.9,31.2,,,0.0,0.0,0.0,0.0,,
540,2,Control,No,Yes,33.2,34.5,,,0.0,0.0,0.0,0.0,,
224,2,Control,Yes,Yes,,40.2,,,,,,0.0,,
239,2,Control,Yes,Yes,,36.4,,,,,,0.0,,
251,3,T2: Radial,Yes,Yes,42.3,45.6,,,0.0,0.0,0.0,0.0,0.0,0.0
252,3,T2: Radial,Yes,Yes,41.4,47.0,,,0.0,0.0,0.0,0.0,0.0,0.0
254,3,T2: Radial,Yes,Yes,37.3,42.0,,,0.0,0.0,0.0,0.0,0.0,0.0
242,3,T2: Radial,Yes,,36.0,41.9,,,0.0,0.0,0.0,,,
243,3,T2: Radial,Yes,Yes,38.2,41.8,,,0.0,0.0,0.0,,,
258,3,T2: Radial,Yes,Yes,35.0,37.8,,,0.0,0.0,0.0,0.0,0.0,0.0
256,3,T2: Radial,Yes,Yes,38.2,45.3,,,0.0,0.0,0.0,0.0,0.0,0.0
250,3,T2: Radial,Yes,,31.9,,,,0.0,0.0,0.0,,,
264,3,T2: Radial,Yes,Yes,46.8,48.0,,,0.0,0.0,0.0,0.0,0.0,0.0
263,3,T2: Radial,Yes,Yes,38.2,43.0,,,0.0,0.0,0.0,0.0,0.0,0.0
262,3,T2: Radial,Yes,Yes,48.1,49.1,,,0.0,0.0,0.0,0.0,0.0,0.0
261,3,T2: Radial,Yes,Yes,37.3,38.8,,,0.0,0.0,0.0,0.0,0.0,0.0
260,3,T2: Radial,Yes,Yes,36.6,39.0,,,0.0,0.0,0.0,0.0,0.0,0.0
265,3,T2: Radial,Yes,Yes,36.3,40.0,,,0.0,0.0,0.0,0.0,0.0,0.0
259,3,T2: Radial,Yes,Yes,34.7,38.0,,,0.0,0.0,0.0,0.0,0.0,0.0
266,3,T2: Radial,Yes,Yes,28.7,33.0,,,0.0,0.0,0.0,0.0,0.0,0.0
267,3,T2: Radial,Yes,Yes,29.3,33.5,,,0.0,0.0,0.0,0.0,0.0,0.0
268,3,T2: Radial,Yes,Yes,35.0,38.1,,,0.0,0.0,0.0,0.0,0.0,0.0
541,3,T2: Radial,,Yes,25.1,26.7,,,,,,0.0,0.0,0.0
542,3,T2: Radial,,Yes,24.8,28.5,,,,,,0.0,0.0,0.0
544,3,T2: Radial,,Yes,29.9,31.6,,,,,,0.0,0.0,0.0
546,3,T2: Radial,,Yes,23.3,24.5,,,,,,0.0,0.0,0.0
547,3,T2: Radial,,Yes,29.8,32.0,,,,,,0.0,0.0,0.0
548,3,T2: Radial,,Yes,24.8,27.0,,,,,,0.0,0.0,0.0
549,3,T2: Radial,,Yes,27.3,27.3,,,,,,0.0,0.0,0.0
550,3,T2: Radial,,Yes,22.3,23.4,,,,,,0.0,0.0,0.0
552,3,T2: Radial,,Yes,27.0,29.2,,,,,,0.0,0.0,0.0
551,3,T2: Radial,,Yes,25.1,28.0,,,,,,0.0,0.0,0.0
543,3,T2: Radial,,Yes,31.1,35.4,,,0.0,0.0,0.0,0.0,0.0,0.0
545,3,T2: Radial,,Yes,32.5,35.3,,,0.0,0.0,0.0,0.0,0.0,0.0
554,3,T2: Radial,,Yes,31.0,34.0,,,0.0,0.0,0.0,0.0,0.0,0.0
555,3,T2: Radial,,Yes,34.3,36.8,,,0.0,0.0,0.0,0.0,0.0,0.0
556,3,T2: Radial,,Yes,35.3,37.4,,,0.0,0.0,0.0,1.0,0.0,0.0
557,3,T2: Radial,,Yes,30.0,33.5,,,0.0,0.0,0.0,0.0,0.0,0.0
558,3,T2: Radial,,Yes,40.0,43.7,,,0.0,0.0,0.0,0.0,0.0,0.0
559,3,T2: Radial,,Yes,36.0,38.3,,,,,,0.0,0.0,0.0
560,3,T2: Radial,,Yes,30.2,32.5,,,0.0,0.0,0.0,0.0,0.0,0.0
561,3,T2: Radial,,Yes,30.6,33.0,,,0.0,0.0,0.0,,,
21,1,T1: Gap,Yes,Yes,39.8,42.4,,,0,0.0,0.0,0,,
22,1,T1: Gap,Yes,Yes,40.2,43.0,,,0,0.0,0.0,0,,
23,1,T1: Gap,Yes,Yes,45.2,48.4,,,0,0.0,0.0,0,,
24,1,T1: Gap,Yes,Yes,38.0,39.1,,,0,0.0,1.0,Yes,,
25,1,T1: Gap,Yes,Yes,43.0,45.2,,,0,0.0,0.0,0,,
26,1,T1: Gap,Yes,Yes,44.0,46.6,,,0,0.0,0.0,0,,
