"","Time","Plot_number","Treatment","Quadrat_number","Quadrat_fenced","Quadrat_gap","Richness_change"
"182","3-6",9,"Radial",22,"True","True",-5
"183","3-6",9,"Radial",23,"False","True",-5
"184","3-6",9,"Radial",24,"True","True",-17
"185","3-6",9,"Radial",25,"False","True",-2
"186","3-6",9,"Radial",26,"True","True",-10
"187","3-6",9,"Radial",27,"False","True",-8
"188","3-6",9,"Radial",28,"True","True",-5
"189","3-6",9,"Radial",29,"False","True",-3
"190","3-6",9,"Radial",30,"True","True",0
"191","3-6",9,"Radial",31,"False","True",-1
"192","3-6",9,"Radial",32,"True","True",-13
"193","3-6",10,"Gap",1,"False","False",-2
"194","3-6",10,"Gap",2,"True","True",-5
"195","3-6",10,"Gap",3,"False","True",-5
"196","3-6",10,"Gap",4,"True","False",-10
"197","3-6",10,"Gap",5,"False","False",-5
"198","3-6",10,"Gap",6,"True","True",0
"199","3-6",10,"Gap",7,"False","True",-14
"200","3-6",10,"Gap",8,"True","True",-5
"201","3-6",10,"Gap",9,"False","True",-2
"202","3-6",10,"Gap",10,"True","False",3
"203","3-6",10,"Gap",11,"False","True",0
"204","3-6",10,"Gap",12,"True","True",-17
"205","3-6",10,"Gap",13,"False","False",2
"206","3-6",10,"Gap",14,"True","False",1
"207","3-6",10,"Gap",15,"False","False",2
"208","3-6",10,"Gap",16,"True","True",0
"209","3-6",10,"Gap",17,"False","False",13
"210","3-6",10,"Gap",18,"True","False",-3
"211","3-6",10,"Gap",19,"False","False",0
"212","3-6",10,"Gap",20,"True","True",-6
"213","3-6",10,"Gap",21,"False","False",-7
"214","3-6",10,"Gap",22,"True","True",-7
"215","3-6",10,"Gap",23,"False","False",0
"216","3-6",10,"Gap",24,"True","True",-6
"217","3-6",10,"Gap",25,"False","True",-3
"218","3-6",10,"Gap",26,"True","True",-4
"219","3-6",10,"Gap",27,"False","False",-4
"220","3-6",10,"Gap",28,"True","False",4
"221","3-6",10,"Gap",29,"False","False",-3
"222","3-6",10,"Gap",30,"True","True",-4
"223","3-6",10,"Gap",31,"False","True",-14
"224","3-6",10,"Gap",32,"True","True",5
"225","3-6",12,"Gap",1,"False","False",-6
"226","3-6",12,"Gap",2,"True","True",-3
"227","3-6",12,"Gap",3,"False","True",-13
"228","3-6",12,"Gap",4,"True","True",-6
"229","3-6",12,"Gap",5,"False","False",-6
