,Candidate 1,Candidate 2,Candidate 3,Options
Euchiton spp,,,,"[(6, 'Acaulon spp.'), (6, 'Bruchia spp.'), (6, 'Lichen spp.'), (7, 'Achillea spp.'), (7, 'Alectryon spp.'), (7, 'Amphipogon spp.'), (7, 'Anchusa spp.'), (7, 'Archidium spp.'), (7, 'Brachychiton spp.'), (7, 'Bulbine spp.'), (7, 'Cycnogeton spp.'), (7, 'Kurzia spp.'), (7, 'Riccia spp.'), (7, 'Vulpia spp.'), (7, 'Zygodon spp.')]"
Microlaena stipoides,,,,"[(8, 'Austrostipa stipoides'), (8, 'Lilaea scilloides'), (9, 'Adriana urticoides'), (10, 'Sclerolaena stelligera'), (10, 'Zieria cytisoides'), (11, 'Acacia hakeoides'), (11, 'Diuris dendrobioides'), (11, 'Hydrocleys nymphoides'), (11, 'Hypolaena fastigiata'), (11, 'Lomatia myricoides'), (11, 'Morinda jasminoides'), (11, 'Pimelea phylicoides'), (11, 'Sclerolaena napiformis'), (11, 'Sclerolaena tricuspis'), (11, 'Triglochin scilloides')]"
Lachnagrostis spp.,Lachnagrostis scabra,Lachnagrostis robusta,Lachnagrostis adamsonii,"[(6, 'Lachnagrostis scabra'), (8, 'Balantiopsis spp.'), (8, 'Lachnagrostis robusta'), (8, 'Marchantia spp.'), (8, 'Philonotis spp.'), (9, 'Ambrosia spp.'), (9, 'Amphibromus spp.'), (9, 'Anthoceros spp.'), (9, 'Arenaria spp.'), (9, 'Callitris spp.'), (9, 'Cycnogeton spp.'), (9, 'Funaria spp.'), (9, 'Lachnagrostis adamsonii'), (9, 'Riccardia spp.'), (9, 'Thuidiopsis spp.')]"
Hypochaeris spp,Hypochaeris glabra,,,"[(7, 'Hypochaeris glabra'), (8, 'Anthemis spp.'), (8, 'Anthoceros spp.'), (8, 'Aphanes spp.'), (8, 'Aphelia spp.'), (8, 'Berberis spp.'), (8, 'Calochilus spp.'), (8, 'Camptochaete spp.'), (8, 'Cryphaea spp.'), (8, 'Hypochoeris glabra'), (8, 'Isotachis spp.'), (8, 'Marchantia spp.'), (8, 'Papillaria spp.'), (9, 'Acaena spp.'), (9, 'Acer spp.')]"
Lagenophora spp,Lagenophora montana,Lagenophora stipitata,,"[(5, 'Angophora spp.'), (7, 'Plagiochila spp.'), (8, 'Bauera spp.'), (8, 'Calendula spp.'), (8, 'Lagenophora montana'), (8, 'Lagenophora stipitata'), (8, 'Xanthorrhoea spp.'), (9, 'Acaena spp.'), (9, 'Anchusa spp.'), (9, 'Aneura spp.'), (9, 'Aptenia spp.'), (9, 'Arenaria spp.'), (9, 'Avena spp.'), (9, 'Caladenia spp.'), (9, 'Cladonia spp.')]"
Hydrocotyle spp,Hydrocotyle hirta,Hydrocotyle algida,Hydrocotyle muscosa_Hydrocotyle comocarpa_Hydrocotyle rugulosa,"[(6, 'Hydrocotyle hirta'), (7, 'Hydrocotyle algida'), (7, 'Hydrocotyle muscosa'), (9, 'Acrobolbus spp.'), (9, 'Bertya spp.'), (9, 'Characeae spp.'), (9, 'Cycnogeton spp.'), (9, 'Hydrocotyle comocarpa'), (9, 'Hydrocotyle rugulosa'), (9, 'Philonotis spp.'), (9, 'Pyrrhobryum spp.'), (9, 'Symphyogyna spp.'), (9, 'Tortula spp.'), (9, 'Trichocolea spp.'), (9, 'Zygodon spp.')]"
Cerastium glomeratum,Cerastium glomeratum s.l.,Cerastium glomeratum s.s.,,"[(5, 'Cerastium comatum'), (6, 'Cerastium glomeratum s.l.'), (6, 'Cerastium glomeratum s.s.'), (6, 'Choretrum glomeratum'), (6, 'Trifolium glomeratum'), (7, 'Geranium homeanum'), (8, 'Cerastium balearicum'), (8, 'Cerastium pumilum'), (8, 'Senecio glomeratus'), (9, 'Cerastium diffusum'), (9, 'Galium liratum'), (9, 'Geranium dissectum'), (9, 'Geranium neglectum'), (9, 'Geranium robertianum'), (9, 'Myriophyllum glomeratum')]"
Austrostipa spp,Austrostipa rudis,Austrostipa scabra,Austrostipa stuposa_Austrostipa exilis_Austrostipa mollis_Austrostipa nitida_Austrostipa nodosa_Austrostipa pilata_Austrostipa setacea_Austrostipa blackii_Austrostipa gibbosa,"[(6, 'Australina spp.'), (6, 'Austrostipa rudis'), (6, 'Austrostipa scabra'), (6, 'Austrostipa stuposa'), (7, 'Ambrosia spp.'), (7, 'Astrotricha spp.'), (7, 'Austrostipa exilis'), (7, 'Austrostipa mollis'), (7, 'Austrostipa nitida'), (7, 'Austrostipa nodosa'), (7, 'Austrostipa pilata'), (7, 'Austrostipa setacea'), (8, 'Alstroemeria spp.'), (8, 'Austrostipa blackii'), (8, 'Austrostipa gibbosa')]"
Poranthera microphylla,Poranthera microphylla s.l.,,,"[(6, 'Poranthera microphylla s.l.'), (8, 'Eutaxia microphylla'), (8, 'Gleichenia microphylla'), (8, 'Lindsaea microphylla'), (8, 'Maireana microphylla'), (8, 'Pultenaea microphylla'), (8, 'Swainsona microphylla'), (9, 'Glycine microphylla'), (9, 'Gynatrix macrophylla'), (9, 'Leionema microphyllum'), (10, 'Barbula acrophylla'), (10, 'Colura saccophylla'), (10, 'Corynotheca licrota'), (10, 'Poranthera corymbosa'), (10, 'Tetratheca subaphylla')]"
Rytidosperma geniculata,Rytidosperma geniculatum,,,"[(3, 'Rytidosperma geniculatum'), (6, 'Rytidosperma auriculatum'), (6, 'Rytidosperma penicillatum'), (7, 'Rytidosperma alpicola'), (7, 'Rytidosperma monticola'), (7, 'Rytidosperma nivicola'), (8, 'Rytidosperma nivicolum'), (8, 'Rytidosperma semiannulare'), (8, 'Rytidosperma tenuius'), (9, 'Goodenia geniculata'), (9, 'Lepidosperma limicola'), (9, 'Rytidosperma erianthum'), (9, 'Rytidosperma fulvum'), (9, 'Rytidosperma indutum'), (9, 'Rytidosperma longifolium')]"
Senecio tenuiflorus,Senecio tenuiflorus s.l.,,,"[(6, 'Senecio tenuiflorus s.l.'), (7, 'Carduus tenuiflorus'), (7, 'Senecio pterophorus'), (8, 'Centaurium tenuiflorum'), (8, 'Senecio angulatus'), (8, 'Senecio behrianus'), (8, 'Senecio lageniformis'), (8, 'Senecio minimus'), (9, 'Ipheion uniflorum'), (9, 'Juncus gregiflorus'), (9, 'Juncus pauciflorus'), (9, 'Juncus remotiflorus'), (9, 'Senecio extensus'), (9, 'Senecio georgianus'), (9, 'Senecio linearifolius')]"
Crassula sieberiana,Crassula sieberiana s.l.,Crassula sieberiana s.s.,,"[(6, 'Crassula sieberiana s.l.'), (6, 'Crassula sieberiana s.s.'), (6, 'Gahnia sieberiana'), (7, 'Crassula closiana'), (7, 'Poa sieberiana'), (8, 'Crassula colorata'), (8, 'Crassula exserta'), (8, 'Nassella neesiana'), (9, 'Aristida behriana'), (9, 'Crassula helmsii'), (9, 'Crassula tetramera'), (9, 'Gratiola peruviana'), (10, 'Barbula hampeana'), (10, 'Brasenia schreberi'), (10, 'Brassica nigra')]"
Gnaphalium sp,Gnaphalium indutum,,,"[(7, 'Sphagnum spp.'), (8, 'Aphelia spp.'), (8, 'Archidium spp.'), (8, 'Gnaphalium indutum'), (8, 'Phascum spp.'), (9, 'Adiantum spp.'), (9, 'Agapanthus spp.'), (9, 'Anoectangium spp.'), (9, 'Anthemis spp.'), (9, 'Aphanes spp.'), (9, 'Australina spp.'), (9, 'Bazzania spp.'), (9, 'Botrychium spp.'), (9, 'Brachypodium spp.'), (9, 'Crossidium spp.')]"
Cerastium sp.,,,,"[(5, 'Geranium sp. 1'), (5, 'Geranium sp. 2'), (5, 'Geranium sp. 3'), (5, 'Geranium sp. 5'), (5, 'Geranium sp. 6'), (5, 'Geranium sp. 7'), (6, 'Acromastigum spp.'), (6, 'Adiantum spp.'), (6, 'Phascum spp.'), (6, 'Taraxacum spp.'), (6, 'Tetrapterum spp.'), (7, 'Acianthus spp.'), (7, 'Archidium spp.'), (7, 'Arum spp.'), (7, 'Berberis spp.')]"
Unknown Species,,,,"[(9, 'Croton setiger'), (9, 'Olearia speciosa'), (10, 'Avena sterilis'), (10, 'Mentha spicata'), (10, 'Oenothera speciosa'), (10, 'Ononis repens'), (10, 'Ononis spinosa'), (10, 'Temnoma spp.'), (11, 'Acaulon spp.'), (11, 'Aloe spp.'), (11, 'Aloina spp.'), (11, 'Anchusa capensis'), (11, 'Anchusa spp.'), (11, 'Aneura spp.'), (11, 'Avena sativa')]"
Pterostylis spp,Pterostylis laxa,Pterostylis nana,Pterostylis spissa_Pterostylis curta_Pterostylis lustra_Pterostylis aestiva_Pterostylis atrans_Pterostylis fischii_Pterostylis hamata_Pterostylis maxima_Pterostylis mutica_Pterostylis nutans_Pterostylis pusilla_Pterostylis valida,"[(5, 'Pterostylis laxa'), (5, 'Pterostylis nana'), (5, 'Pterostylis spissa'), (6, 'Pterostylis curta'), (6, 'Pterostylis lustra'), (7, 'Heteroscyphus spp.'), (7, 'Pterostylis aestiva'), (7, 'Pterostylis atrans'), (7, 'Pterostylis fischii'), (7, 'Pterostylis hamata'), (7, 'Pterostylis maxima'), (7, 'Pterostylis mutica'), (7, 'Pterostylis nutans'), (7, 'Pterostylis pusilla'), (7, 'Pterostylis valida')]"
Poa labillardieri,Poa labillardierei,,,"[(2, 'Poa labillardierei'), (4, 'Poa billardierei'), (7, 'Roepera billardierei'), (8, 'Nitraria billardierei'), (9, 'Atriplex billardierei'), (9, 'Poa clelandii'), (9, 'Poa sallacustris'), (10, 'Acacia loderi'), (10, 'Dicranoloma billarderi'), (10, 'Grammitis billardierei'), (10, 'Lomatia fraseri'), (10, 'Plantago bellardii'), (10, 'Poa phillipsiana'), (10, 'Rosulabryum billarderi'), (10, 'Tetratheca labillardierei')]"
Oxalis (native),,,,"[(7, 'Oxalis bowiei'), (8, 'Madia sativa'), (8, 'Oxalis chnoodes'), (8, 'Oxalis exilis'), (8, 'Oxalis hirta'), (8, 'Oxalis incarnata'), (8, 'Oxalis latifolia'), (8, 'Oxalis obtusa'), (8, 'Oxalis purpurea'), (8, 'Oxalis radicosa'), (9, 'Cannabis sativa'), (9, 'Galium aparine'), (9, 'Oxalis rubens'), (9, 'Salix fragilis'), (9, 'Salix nigra')]"
Vulpia sp.,Vulpia spp.,,,"[(2, 'Vulpia spp.'), (4, 'Kurzia spp.'), (5, 'Aloina spp.'), (5, 'Bergia spp.'), (5, 'Bruchia spp.'), (5, 'Bulbine spp.'), (5, 'Cladia spp.'), (5, 'Colura spp.'), (5, 'Funaria spp.'), (5, 'Kunzea spp.'), (5, 'Meesia spp.'), (5, 'Pohlia spp.'), (5, 'Pottia spp.'), (5, 'Riccia spp.'), (5, 'Ulota spp.')]"
Arthropodium strictum,Arthropodium strictum s.l.,Arthropodium strictum s.s.,,"[(6, 'Arthropodium fimbriatum'), (6, 'Arthropodium strictum s.l.'), (6, 'Arthropodium strictum s.s.'), (7, 'Arthropodium minus'), (7, 'Lepidium strictum'), (8, 'Ditrichum strictum'), (8, 'Orthoceras strictum'), (8, 'Trifolium striatum'), (9, 'Catapodium marinum'), (9, 'Chenopodium carinatum'), (9, 'Lycopodium scariosum'), (9, 'Microtidium atratum'), (10, 'Amphipogon strictus'), (10, 'Archidium stellatum'), (10, 'Catapodium rigidum')]"
Poa spp,Poa fax,Poa orba,,"[(4, 'Aira spp.'), (4, 'Aloe spp.'), (4, 'Poa fax'), (4, 'Ulota spp.'), (4, 'Viola spp.'), (5, 'Acer spp.'), (5, 'Agave spp.'), (5, 'Ajuga spp.'), (5, 'Aloina spp.'), (5, 'Aotus spp.'), (5, 'Arum spp.'), (5, 'Avena spp.'), (5, 'Azolla spp.'), (5, 'Colura spp.'), (5, 'Poa orba')]"
Oxalis sp 2.,Oxalis hirta,,,"[(6, 'Cladia spp.'), (6, 'Oxalis hirta'), (6, 'Pohlia spp.'), (6, 'Zoopsis spp.'), (7, 'Acaena spp.'), (7, 'Acaulon spp.'), (7, 'Agave spp.'), (7, 'Alisma spp.'), (7, 'Aloe spp.'), (7, 'Aotus spp.'), (7, 'Aphanes spp.'), (7, 'Aphelia spp.'), (7, 'Azolla spp.'), (7, 'Bergia spp.'), (7, 'Bidens spp.')]"
Sonchus spp,,,,"[(4, 'Anchusa spp.'), (5, 'Aotus spp.'), (5, 'Isotachis spp.'), (6, 'Acianthus spp.'), (6, 'Bruchia spp.'), (6, 'Lichen spp.'), (6, 'Zoopsis spp.'), (7, 'Acer spp.'), (7, 'Agapanthus spp.'), (7, 'Amsinckia spp.'), (7, 'Aneura spp.'), (7, 'Angianthus spp.'), (7, 'Anthemis spp.'), (7, 'Aphanes spp.'), (7, 'Arum spp.')]"
Arthropodium spp,Arthropodium minus,,,"[(6, 'Arthropodium minus'), (6, 'Brachypodium spp.'), (6, 'Orthodontium spp.'), (7, 'Archidium spp.'), (7, 'Marsupidium spp.'), (8, 'Botrychium spp.'), (8, 'Crossidium spp.'), (8, 'Eccremidium spp.'), (8, 'Orthotrichum spp.'), (8, 'Pleuridium spp.'), (8, 'Rhizogonium spp.'), (8, 'Schistidium spp.'), (8, 'Tetrapterum spp.'), (8, 'Thuidium spp.'), (9, 'Acrobolbus spp.')]"
Carex spp,Carex iynx,,,"[(5, 'Acaena spp.'), (5, 'Acer spp.'), (5, 'Agave spp.'), (5, 'Aira spp.'), (5, 'Aloe spp.'), (5, 'Arum spp.'), (5, 'Bauera spp.'), (5, 'Carex iynx'), (5, 'Usnea spp.'), (6, 'Acaulon spp.'), (6, 'Ajuga spp.'), (6, 'Amyema spp.'), (6, 'Aotus spp.'), (6, 'Aphanes spp.'), (6, 'Avena spp.')]"
Thelymitra spp,Thelymitra nuda,Thelymitra rubra,Thelymitra azurea_Thelymitra carnea_Thelymitra cyanea_Thelymitra mucida,"[(5, 'Thelymitra nuda'), (6, 'Thelymitra rubra'), (7, 'Aphelia spp.'), (7, 'Thelymitra azurea'), (7, 'Thelymitra carnea'), (7, 'Thelymitra cyanea'), (7, 'Thelymitra mucida'), (8, 'Aira spp.'), (8, 'Alisma spp.'), (8, 'Aloina spp.'), (8, 'Aneura spp.'), (8, 'Anthemis spp.'), (8, 'Arenaria spp.'), (8, 'Artemisia spp.'), (8, 'Bergia spp.')]"
Geranium sp.,Geranium sp. 1,Geranium sp. 2,Geranium sp. 3_Geranium sp. 4_Geranium sp. 5_Geranium sp. 6_Geranium sp. 7,"[(3, 'Geranium sp. 1'), (3, 'Geranium sp. 2'), (3, 'Geranium sp. 3'), (3, 'Geranium sp. 5'), (3, 'Geranium sp. 6'), (3, 'Geranium sp. 7'), (5, 'Adiantum spp.'), (5, 'Geranium yeoi'), (6, 'Arum spp.'), (6, 'Bergia spp.'), (6, 'Geranium molle'), (6, 'Hypnum spp.'), (6, 'Phascum spp.'), (6, 'Pleuridium spp.'), (6, 'Sphagnum spp.')]"
Schoenus spp,Schoenus apogon,Schoenus carsei,Schoenus nanus,"[(6, 'Acaena spp.'), (6, 'Aotus spp.'), (6, 'Aphanes spp.'), (6, 'Bidens spp.'), (6, 'Lichen spp.'), (6, 'Schoenus apogon'), (6, 'Schoenus carsei'), (6, 'Schoenus nanus'), (6, 'Sphagnum spp.'), (7, 'Acer spp.'), (7, 'Achillea spp.'), (7, 'Acianthus spp.'), (7, 'Acrobolbus spp.'), (7, 'Aloe spp.'), (7, 'Aloina spp.')]"
Oxalis sp (weed),,,,"[(8, 'Oxalis bowiei'), (9, 'Oxalis chnoodes'), (9, 'Oxalis purpurea'), (9, 'Oxalis rubens'), (10, 'Oxalis exilis'), (10, 'Oxalis hirta'), (10, 'Oxalis incarnata'), (10, 'Oxalis latifolia'), (10, 'Oxalis obtusa'), (10, 'Oxalis perennans'), (10, 'Oxalis radicosa'), (10, 'Salix X rubens'), (11, 'Acacia aspera'), (11, 'Acacia spinescens'), (11, 'Bellis perennis')]"
Baumea sp,Bauera spp.,Baumea laxa,Baumea acuta,"[(5, 'Bauera spp.'), (5, 'Baumea laxa'), (6, 'Ajuga spp.'), (6, 'Arum spp.'), (6, 'Baumea acuta'), (6, 'Kunzea spp.'), (6, 'Radula spp.'), (6, 'Usnea spp.'), (6, 'Zea mays'), (7, 'Acaena spp.'), (7, 'Acaulon spp.'), (7, 'Acer spp.'), (7, 'Agave spp.'), (7, 'Aira spp.'), (7, 'Alisma spp.')]"
Geranium spp,Geranium sp. 1,Geranium sp. 2,Geranium sp. 3_Geranium sp. 4_Geranium sp. 5_Geranium sp. 6_Geranium sp. 7,"[(4, 'Geranium sp. 1'), (4, 'Geranium sp. 2'), (4, 'Geranium sp. 3'), (4, 'Geranium sp. 5'), (4, 'Geranium sp. 6'), (4, 'Geranium sp. 7'), (5, 'Adiantum spp.'), (5, 'Geranium yeoi'), (6, 'Arum spp.'), (6, 'Bergia spp.'), (6, 'Geranium molle'), (6, 'Hypnum spp.'), (6, 'Phascum spp.'), (6, 'Pleuridium spp.'), (6, 'Sphagnum spp.')]"
Cymbonotis sp,,,,"[(6, 'Philonotis spp.'), (8, 'Ambrosia spp.'), (9, 'Acrobolbus spp.'), (9, 'Amsinckia spp.'), (9, 'Aotus spp.'), (9, 'Berberis spp.'), (9, 'Campylopus spp.'), (9, 'Cladonia spp.'), (9, 'Cycnogeton spp.'), (9, 'Dawsonia spp.'), (9, 'Pogonatum spp.'), (9, 'Pottia spp.'), (9, 'Temnoma spp.'), (9, 'Weymouthia spp.'), (9, 'Zoopsis spp.')]"
Arthropodiumn minus,Arthropodium minus,,,"[(2, 'Arthropodium minus'), (8, 'Empodisma minus'), (8, 'Sphaerolobium minus'), (9, 'Arthropodium fimbriatum'), (9, 'Catapodium marinum'), (9, 'Damasonium minus'), (10, 'Chenopodium album'), (11, 'Blechnum minus'), (11, 'Brachypodium spp.'), (11, 'Catapodium rigidum'), (11, 'Chenopodium erosum'), (11, 'Chenopodium murale'), (11, 'Chenopodium pumilio'), (11, 'Eccremidium minutum'), (11, 'Eragrostis minor')]"
Acianthus sp.,Acianthus spp.,,,"[(2, 'Acianthus spp.'), (4, 'Angianthus spp.'), (5, 'Adiantum spp.'), (5, 'Agapanthus spp.'), (5, 'Tylimanthus spp.'), (7, 'Anchusa spp.'), (7, 'Aotus spp.'), (7, 'Aphanes spp.'), (7, 'Dianella spp.'), (7, 'Marchantia spp.'), (8, 'Acaena spp.'), (8, 'Acaulon spp.'), (8, 'Acianthus pusillus'), (8, 'Acrobolbus spp.'), (8, 'Adriana spp.')]"
Erhartia erecta,Ehrharta erecta,,,"[(3, 'Ehrharta erecta'), (6, 'Berula erecta'), (6, 'Moenchia erecta'), (8, 'Acacia elata'), (8, 'Acacia stricta'), (8, 'Ficaria verna'), (8, 'Olearia lirata'), (8, 'Opuntia elata'), (8, 'Opuntia stricta'), (8, 'Potentilla recta'), (8, 'Stuartina hamata'), (8, 'Tritonia crocata'), (9, 'Acacia decora'), (9, 'Acacia lineata'), (9, 'Banksia ornata')]"
Eucalyptus tereteticornis,,,,"[(10, 'Eucalyptus alaticaulis'), (10, 'Eucalyptus falciformis'), (10, 'Eucalyptus nortonii'), (10, 'Eucalyptus serraensis'), (10, 'Eucalyptus tricarpa'), (11, 'Eucalyptus denticulata'), (11, 'Eucalyptus fraxinoides'), (11, 'Eucalyptus glaucescens'), (11, 'Eucalyptus gracilis'), (11, 'Eucalyptus largiflorens'), (11, 'Eucalyptus litoralis'), (11, 'Eucalyptus nitens'), (11, 'Eucalyptus perriniana'), (11, 'Eucalyptus regnans'), (11, 'Eucalyptus saxatilis')]"
Juncus spp,,,,"[(5, 'Anchusa spp.'), (5, 'Aotus spp.'), (5, 'Kunzea spp.'), (6, 'Acer spp.'), (6, 'Ajuga spp.'), (6, 'Aneura spp.'), (6, 'Arum spp.'), (6, 'Bidens spp.'), (6, 'Funaria spp.'), (6, 'Hypnum spp.'), (6, 'Kurzia spp.'), (6, 'Phascum spp.'), (6, 'Riccia spp.'), (6, 'Usnea spp.'), (6, 'Vulpia spp.')]"
Corybas sp.,,,,"[(6, 'Aira spp.'), (6, 'Aotus spp.'), (6, 'Bergia spp.'), (6, 'Bertya spp.'), (6, 'Colura spp.'), (6, 'Kurzia spp.'), (6, 'Pohlia spp.'), (6, 'Pottia spp.'), (6, 'Tortula spp.'), (6, 'Zoopsis spp.'), (7, 'Acaena spp.'), (7, 'Acer spp.'), (7, 'Acrobolbus spp.'), (7, 'Adriana spp.'), (7, 'Ajuga spp.')]"
Euchiton involucratis,Euchiton involucratus s.l.,Euchiton involucratus s.s.,,"[(7, 'Euchiton involucratus s.l.'), (7, 'Euchiton involucratus s.s.'), (11, 'Euchiton sphaericus'), (11, 'Euchiton traversii'), (12, 'Euchiton japonicus s.s.'), (12, 'Euchiton umbricola'), (12, 'Leucopogon glacialis'), (13, 'Abutilon theophrasti'), (13, 'Bazzania involuta'), (13, 'Cenchrus incertus'), (13, 'Echinopogon ovatus'), (13, 'Euchiton collinus s.l.'), (13, 'Euchiton collinus s.s.'), (13, 'Euchiton japonicus s.l.'), (13, 'Isopogon prostratus')]"
Trifolium sp.,Trifolium dubium,Trifolium hirtum,,"[(6, 'Archidium spp.'), (7, 'Acrobolbus spp.'), (7, 'Adiantum spp.'), (7, 'Arum spp.'), (7, 'Botrychium spp.'), (7, 'Crossidium spp.'), (7, 'Ditrichum spp.'), (7, 'Grimmia spp.'), (7, 'Racopilum spp.'), (7, 'Rhizoclonium spp.'), (7, 'Rhizogonium spp.'), (7, 'Syzygium spp.'), (7, 'Thuidium spp.'), (7, 'Trifolium dubium'), (7, 'Trifolium hirtum')]"
Poa sp (green hairy),Poa sp. aff. tenera (Hairy),,,"[(13, 'Poa petrophila'), (13, 'Poa pratensis'), (13, 'Poa sieberiana'), (13, 'Poa sp. aff. tenera (Hairy)'), (14, 'Aphanes arvensis'), (14, 'Bromus arenarius'), (14, 'Conospermum patens'), (14, 'Hakea eriantha'), (14, 'Hyparrhenia hirta'), (14, 'Lotus creticus'), (14, 'Lotus cruentus'), (14, 'Lotus preslii'), (14, 'Oxalis perennans'), (14, 'Poa fordeana'), (14, 'Poa hothamensis')]"
conyza sumatrensis,Conyza sumatrensis,,,"[(1, 'Conyza sumatrensis'), (6, 'Conyza bonariensis'), (8, 'Erigeron sumatrensis'), (8, 'Poa pratensis'), (9, 'Poa lowanensis'), (10, 'Anchusa arvensis'), (10, 'Conyza parva'), (10, 'Cotula australis'), (10, 'Doodia australis'), (10, 'Elodea canadensis'), (10, 'Linaria arvensis'), (10, 'Malva nicaeensis'), (10, 'Menkea australis'), (10, 'Mentha australis'), (10, 'Poa hothamensis')]"
Dipodium spp,,,,"[(5, 'Thuidium spp.'), (6, 'Adiantum spp.'), (6, 'Archidium spp.'), (6, 'Hypnum spp.'), (6, 'Racopilum spp.'), (6, 'Syzygium spp.'), (7, 'Aloina spp.'), (7, 'Aotus spp.'), (7, 'Arum spp.'), (7, 'Bidens spp.'), (7, 'Blindia spp.'), (7, 'Brachypodium spp.'), (7, 'Cladia spp.'), (7, 'Crossidium spp.'), (7, 'Ditrichum spp.')]"
