Tree Number,Plot,Treatment,Large,Alive at year 0,DBH year 0,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Alive at year 6,DBH year 6,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
123,12,T1: Gap,False,True,22.7,,,,True,23.2,,,
128,12,T1: Gap,False,True,29.1,,,,True,31.8,,,
129,12,T1: Gap,False,True,23.5,,,,True,24.9,,,
130,12,T1: Gap,False,True,25.3,,,,True,28.0,,,
131,12,T1: Gap,False,True,23.3,,,,True,24.2,,,
132,12,T1: Gap,False,True,24.9,,,,True,26.5,,,
118,12,T1: Gap,False,True,35.8,0.0,0.0,0.0,True,39.5,0.0,0.0,0.0
120,12,T1: Gap,False,True,41.2,0.0,0.0,0.0,True,44.5,0.0,0.0,0.0
121,12,T1: Gap,False,True,36.7,0.0,0.0,0.0,True,39.1,0.0,0.0,0.0
124,12,T1: Gap,False,True,34.0,1.0,0.0,0.0,True,36.0,0.0,0.0,0.0
125,12,T1: Gap,False,True,33.3,0.0,0.0,0.0,True,36.7,0.0,0.0,0.0
126,12,T1: Gap,False,True,31.9,0.0,0.0,0.0,True,34.5,0.0,0.0,0.0
127,12,T1: Gap,False,True,33.9,0.0,0.0,0.0,True,36.1,0.0,0.0,0.0
133,12,T1: Gap,False,True,35.0,0.0,0.0,0.0,True,37.0,0.0,0.0,0.0
134,12,T1: Gap,False,True,33.8,0.0,0.0,0.0,True,37.0,0.0,0.0,0.0
135,12,T1: Gap,False,True,35.3,0.0,0.0,0.0,True,37.5,0.0,0.0,0.0
173,5,T2: Radial,True,True,38.9,,,,True,41.7,,,
986,5,T2: Radial,True,True,46.2,,,,True,44.5,,,
463,5,T2: Radial,False,True,28.0,,,,True,29.1,0.0,0.0,0.0
464,5,T2: Radial,False,True,23.5,,,,True,24.5,0.0,0.0,0.0
465,5,T2: Radial,False,True,23.7,,,,True,25.3,0.0,0.0,0.0
467,5,T2: Radial,False,True,29.4,,,,True,30.2,0.0,0.0,0.0
471,5,T2: Radial,False,True,21.0,,,,,,,,
472,5,T2: Radial,False,True,26.6,,,,True,27.5,0.0,0.0,0.0
474,5,T2: Radial,False,True,28.5,,,,True,30.3,0.0,0.0,0.0
476,5,T2: Radial,False,True,22.0,,,,True,24.1,0.0,0.0,0.0
477,5,T2: Radial,False,True,23.5,,,,,,,,
480,5,T2: Radial,False,True,24.3,,,,True,25.8,0.0,0.0,0.0
461,5,T2: Radial,False,True,31.2,0.0,0.0,0.0,True,32.9,0.0,0.0,0.0
462,5,T2: Radial,False,True,33.5,0.0,0.0,0.0,True,36.1,0.0,0.0,0.0
466,5,T2: Radial,False,True,30.5,0.0,0.0,0.0,True,31.3,0.0,0.0,0.0
468,5,T2: Radial,False,True,33.9,0.0,0.0,0.0,True,35.1,0.0,0.0,0.0
469,5,T2: Radial,False,True,37.4,0.0,0.0,0.0,True,39.6,0.0,0.0,0.0
470,5,T2: Radial,False,True,30.9,0.0,0.0,0.0,True,34.9,0.0,0.0,0.0
473,5,T2: Radial,False,True,35.9,0.0,0.0,0.0,True,37.9,0.0,0.0,0.0
475,5,T2: Radial,False,True,31.1,0.0,0.0,0.0,True,35.5,0.0,0.0,0.0
478,5,T2: Radial,False,True,31.2,0.0,0.0,0.0,True,45.4,0.0,0.0,0.0
479,5,T2: Radial,False,True,34.3,0.0,0.0,0.0,True,34.9,0.0,0.0,0.0
187,5,T2: Radial,True,True,63.7,1.0,0.0,0.0,True,63.1,0.0,0.0,0.0
172,5,T2: Radial,True,True,39.7,0.0,0.0,0.0,True,32.9,0.0,0.0,0.0
171,5,T2: Radial,True,True,34.0,0.0,0.0,0.0,True,36.9,0.0,0.0,0.0
188,5,T2: Radial,True,True,32.9,0.0,0.0,0.0,True,38.1,0.0,0.0,0.0
175,5,T2: Radial,True,True,40.0,0.0,0.0,0.0,True,41.7,0.0,0.0,0.0
174,5,T2: Radial,True,True,99.3,1.0,1.0,7.0,True,100.0,2.0,1.0,7.0
176,5,T2: Radial,True,True,81.8,0.0,0.0,4.0,True,80.7,2.0,1.0,4.0
177,5,T2: Radial,True,True,52.2,2.0,4.0,2.0,True,52.8,2.0,5.0,0.0
179,5,T2: Radial,True,True,51.9,7.0,2.0,2.0,True,52.7,1.0,1.0,2.0
180,5,T2: Radial,True,True,39.2,0.0,0.0,0.0,True,41.2,0.0,0.0,0.0
181,5,T2: Radial,True,True,41.1,0.0,0.0,0.0,True,44.1,0.0,0.0,0.0
182,5,T2: Radial,True,True,42.0,0.0,0.0,0.0,True,44.1,0.0,0.0,0.0
989,5,T2: Radial,True,True,39.8,0.0,0.0,0.0,True,44.5,0.0,0.0,0.0
184,5,T2: Radial,True,True,26.8,0.0,0.0,0.0,True,43.4,0.0,0.0,0.0
