,Entry,Options
23,Senecio tenuiflorus,"[(7, 'Carduus tenuiflorus'), (7, 'Senecio pterophorus'), (8, 'Centaurium tenuiflorum'), (8, 'Senecio angulatus'), (8, 'Senecio behrianus'), (8, 'Senecio minimus'), (9, 'Ipheion uniflorum'), (9, 'Juncus gregiflorus'), (9, 'Juncus pauciflorus'), (9, 'Juncus remotiflorus'), (9, 'Senecio georgianus'), (9, 'Senecio linearifolius'), (9, 'Senecio pinnatifolius'), (9, 'Senecio psilocarpus'), (9, 'Senecio runcinifolius')]"
24,Crassula sieberiana,"[(6, 'Crassula sieberiana s.l.'), (6, 'Crassula sieberiana s.s.'), (6, 'Gahnia sieberiana'), (7, 'Crassula closiana'), (7, 'Poa sieberiana'), (8, 'Crassula colorata'), (8, 'Crassula exserta'), (8, 'Nassella neesiana'), (9, 'Aristida behriana'), (9, 'Crassula helmsii'), (9, 'Crassula tetramera'), (9, 'Gratiola peruviana'), (10, 'Barbula hampeana'), (10, 'Brasenia schreberi'), (10, 'Brassica nigra')]"
25,Gnaphalium sp,"[(7, 'Sphagnum spp.'), (8, 'Aphelia spp.'), (8, 'Archidium spp.'), (8, 'Gnaphalium indutum'), (8, 'Phascum spp.'), (9, 'Adiantum spp.'), (9, 'Agapanthus spp.'), (9, 'Anoectangium spp.'), (9, 'Anthemis spp.'), (9, 'Aphanes spp.'), (9, 'Australina spp.'), (9, 'Bazzania spp.'), (9, 'Botrychium spp.'), (9, 'Brachypodium spp.'), (9, 'Crossidium spp.')]"
26,Cerastium sp.,"[(5, 'Geranium sp. 1'), (5, 'Geranium sp. 2'), (5, 'Geranium sp. 3'), (5, 'Geranium sp. 5'), (5, 'Geranium sp. 6'), (5, 'Geranium sp. 7'), (6, 'Acromastigum spp.'), (6, 'Adiantum spp.'), (6, 'Phascum spp.'), (6, 'Taraxacum spp.'), (6, 'Tetrapterum spp.'), (7, 'Acianthus spp.'), (7, 'Archidium spp.'), (7, 'Arum spp.'), (7, 'Berberis spp.')]"
27,Unknown Species,"[(9, 'Croton setiger'), (9, 'Olearia speciosa'), (10, 'Avena sterilis'), (10, 'Mentha spicata'), (10, 'Oenothera speciosa'), (10, 'Ononis repens'), (10, 'Ononis spinosa'), (10, 'Temnoma spp.'), (11, 'Acaulon spp.'), (11, 'Aloe spp.'), (11, 'Aloina spp.'), (11, 'Anchusa capensis'), (11, 'Anchusa spp.'), (11, 'Aneura spp.'), (11, 'Avena sativa')]"
28,Pterostylis spp,"[(5, 'Pterostylis laxa'), (5, 'Pterostylis nana'), (6, 'Pterostylis curta'), (6, 'Pterostylis lustra'), (7, 'Heteroscyphus spp.'), (7, 'Pterostylis aestiva'), (7, 'Pterostylis atrans'), (7, 'Pterostylis fischii'), (7, 'Pterostylis hamata'), (7, 'Pterostylis maxima'), (7, 'Pterostylis mutica'), (7, 'Pterostylis nutans'), (7, 'Pterostylis pusilla'), (7, 'Pterostylis valida'), (8, 'Ambrosia spp.')]"
29,Poa labillardieri,"[(2, 'Poa labillardierei'), (8, 'Nitraria billardierei'), (9, 'Atriplex billardierei'), (9, 'Poa clelandii'), (9, 'Poa sallacustris'), (10, 'Acacia loderi'), (10, 'Dicranoloma billarderi'), (10, 'Grammitis billardierei'), (10, 'Lomatia fraseri'), (10, 'Plantago bellardii'), (10, 'Poa phillipsiana'), (10, 'Rosulabryum billarderi'), (10, 'Tetratheca labillardierei'), (11, 'Acacia lanigera'), (11, 'Acacia oswaldii')]"
30,Oxalis (native),"[(7, 'Oxalis bowiei'), (8, 'Madia sativa'), (8, 'Oxalis chnoodes'), (8, 'Oxalis exilis'), (8, 'Oxalis hirta'), (8, 'Oxalis incarnata'), (8, 'Oxalis latifolia'), (8, 'Oxalis obtusa'), (8, 'Oxalis purpurea'), (8, 'Oxalis radicosa'), (9, 'Cannabis sativa'), (9, 'Galium aparine'), (9, 'Oxalis rubens'), (9, 'Salix fragilis'), (9, 'Salix nigra')]"
31,Hypochaeris radicata,"[(2, 'Hypochoeris radicata'), (8, 'Eleocharis acuta'), (9, 'Eleocharis atricha'), (9, 'Eleocharis minuta'), (9, 'Hypochoeris glabra'), (9, 'Hypoxis vaginata'), (10, 'Eleocharis gracilis'), (10, 'Eleocharis plana'), (10, 'Eleocharis pusilla'), (10, 'Eleocharis sphacelata'), (10, 'Mesochaete undulata'), (10, 'Oxalis radicosa'), (11, 'Chloris truncata'), (11, 'Cyperus vaginatus'), (11, 'Eleocharis pallens')]"
32,Vulpia sp.,"[(2, 'Vulpia spp.'), (4, 'Kurzia spp.'), (5, 'Aloina spp.'), (5, 'Bergia spp.'), (5, 'Bruchia spp.'), (5, 'Bulbine spp.'), (5, 'Cladia spp.'), (5, 'Colura spp.'), (5, 'Funaria spp.'), (5, 'Kunzea spp.'), (5, 'Meesia spp.'), (5, 'Pohlia spp.'), (5, 'Pottia spp.'), (5, 'Riccia spp.'), (5, 'Ulota spp.')]"
33,Arthropodium strictum,"[(6, 'Arthropodium fimbriatum'), (6, 'Arthropodium strictum s.l.'), (6, 'Arthropodium strictum s.s.'), (7, 'Arthropodium minus'), (7, 'Lepidium strictum'), (8, 'Ditrichum strictum'), (8, 'Orthoceras strictum'), (8, 'Trifolium striatum'), (9, 'Catapodium marinum'), (9, 'Chenopodium carinatum'), (9, 'Lycopodium scariosum'), (9, 'Microtidium atratum'), (10, 'Amphipogon strictus'), (10, 'Archidium stellatum'), (10, 'Catapodium rigidum')]"
34,Poa spp,"[(4, 'Aira spp.'), (4, 'Aloe spp.'), (4, 'Poa fax'), (4, 'Ulota spp.'), (4, 'Viola spp.'), (5, 'Acer spp.'), (5, 'Agave spp.'), (5, 'Ajuga spp.'), (5, 'Aloina spp.'), (5, 'Aotus spp.'), (5, 'Arum spp.'), (5, 'Avena spp.'), (5, 'Azolla spp.'), (5, 'Colura spp.'), (5, 'Poa orba')]"
35,Oxalis sp 2.,"[(6, 'Cladia spp.'), (6, 'Oxalis hirta'), (6, 'Pohlia spp.'), (6, 'Zoopsis spp.'), (7, 'Acaena spp.'), (7, 'Acaulon spp.'), (7, 'Agave spp.'), (7, 'Alisma spp.'), (7, 'Aloe spp.'), (7, 'Aotus spp.'), (7, 'Aphanes spp.'), (7, 'Aphelia spp.'), (7, 'Azolla spp.'), (7, 'Bergia spp.'), (7, 'Bidens spp.')]"
36,Sonchus spp,"[(4, 'Anchusa spp.'), (5, 'Aotus spp.'), (5, 'Isotachis spp.'), (6, 'Acianthus spp.'), (6, 'Bruchia spp.'), (6, 'Zoopsis spp.'), (7, 'Acer spp.'), (7, 'Agapanthus spp.'), (7, 'Amsinckia spp.'), (7, 'Aneura spp.'), (7, 'Angianthus spp.'), (7, 'Anthemis spp.'), (7, 'Aphanes spp.'), (7, 'Arum spp.'), (7, 'Bidens spp.')]"
37,Arthropodium spp,"[(6, 'Arthropodium minus'), (6, 'Brachypodium spp.'), (6, 'Orthodontium spp.'), (7, 'Archidium spp.'), (7, 'Marsupidium spp.'), (8, 'Botrychium spp.'), (8, 'Crossidium spp.'), (8, 'Eccremidium spp.'), (8, 'Orthotrichum spp.'), (8, 'Pleuridium spp.'), (8, 'Rhizogonium spp.'), (8, 'Schistidium spp.'), (8, 'Tetrapterum spp.'), (8, 'Thuidium spp.'), (9, 'Acrobolbus spp.')]"
